T1_Z1,T1_Z2,T1_Z3,T2_Z1,T2_Z2,T2_Z3,T3_Z1,T3_Z2,T3_Z3
4.64,5.12,4.64,3.21,3.92,4.95,3.75,2.95,2.95
5.92,6.1,4.32,3.17,3.75,5.22,2.5,3.21,2.8
5.25,4.85,4.13,3.88,4.01,5.16,2.65,3.15,3.63
6.17,4.72,5.17,3.5,4.64,5.35,2.84,3.25,3.85
4.2,5.36,3.77,2.47,3.63,4.35,3.09,2.3,2.19
5.9,5.41,3.85,4.12,3.46,4.89,2.9,2.76,3.32
5.07,5.31,4.12,3.51,4.01,5.61,2.62,3.01,2.68
4.13,4.78,5.07,3.85,3.39,4.98,2.75,2.31,3.35
4.07,5.08,3.25,4.22,3.78,5.77,3.1,2.5,3.12
5.3,4.97,3.49,3.07,3.51,5.23,1.99,2.02,4.11
4.37,5.85,3.65,3.62,3.19,4.76,2.42,2.64,2.9
3.76,5.26,4.1,2.95,4.04,5.15,2.37,2.27,2.75
