@relation kredyty

@attribute status_pożyczki {splacona,splacona_cz,windykacja,windykacja_sp,odmowa}
@attribute rodzaj_źródła_dochodu numeric
@attribute miesięczny_dochód_netto numeric
@attribute które_rolowanie numeric
@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute płeć {Kobieta,Mężczyzna}
@attribute okres_pobierania_dochodu numeric
@attribute okres_będzie_pobierał_dochód numeric
@attribute opóźnienie_spłaty numeric

@data
splacona,16,806,0,300,21,Kobieta,15,48,0
splacona_cz,11,3000,0,500,45,Kobieta,89,48,0
splacona_cz,11,2800,0,400,54,Kobieta,56,48,2
splacona,16,1045,0,200,50,Mężczyzna,195,48,0
windykacja,11,1200,0,400,39,Kobieta,9,48,0
splacona_cz,12,660,0,400,40,Kobieta,8,30,1
splacona_cz,13,1591,0,400,66,Mężczyzna,72,48,1
splacona,13,918,0,336.43,63,Kobieta,98,48,105
splacona_cz,13,1412,0,350,73,Kobieta,200,48,0
splacona_cz,11,1500,0,377.92,27,Kobieta,20,48,0
splacona_cz,11,1577.42,0,200,50,Kobieta,201,48,0
splacona_cz,11,1261.98,0,400,40,Mężczyzna,32,48,1
odmowa,12,1400,0,300,36,Kobieta,2,0,0
windykacja_sp,12,1100,0,400,33,Mężczyzna,123,6,141
splacona_cz,16,2300,0,500,55,Kobieta,59,48,0
splacona_cz,13,1100,0,300,63,Kobieta,101,48,8
splacona_cz,13,803.86,0,200,68,Kobieta,154,48,0
splacona,12,1375.47,0,300,45,Mężczyzna,3,5,0
windykacja,12,1250,0,200,33,Mężczyzna,0,6,0
splacona_cz,11,1000,0,300,41,Kobieta,57,48,0
windykacja,11,2600,0,600,43,Mężczyzna,5,48,0
windykacja,99,1122,0,300,53,Kobieta,12,18,0
splacona,12,1500,0,800,35,Mężczyzna,29,6,0
splacona_cz,12,1027,0,300,39,Kobieta,5,48,0
odmowa,16,612,0,200,61,Kobieta,195,48,0
windykacja,12,2000,0,500,44,Mężczyzna,8,16,0
splacona_cz,13,1538,0,200,63,Mężczyzna,97,48,0
splacona,99,2063.38,0,626.61,54,Mężczyzna,193,13,251
splacona_cz,16,703,0,200,57,Kobieta,22,48,2
splacona_cz,13,866.46,0,200,73,Kobieta,191,48,0
splacona_cz,13,1239,0,300,77,Kobieta,266,48,2
odmowa,17,541,0,200,54,Mężczyzna,96,32,0
windykacja_sp,13,650,0,576.61,66,Kobieta,69,48,379
splacona_cz,13,1013.74,0,300,65,Kobieta,109,48,0
splacona_cz,13,1200.29,0,300,62,Kobieta,18,48,0
splacona_cz,11,1250,0,400,61,Mężczyzna,102,48,0
splacona_cz,13,962,0,500,62,Kobieta,61,48,5
splacona,13,1370,0,662.83,59,Kobieta,72,48,0
splacona_cz,13,814.83,0,300,49,Mężczyzna,153,48,1
splacona,11,1566.82,0,300,46,Mężczyzna,345,48,0
splacona_cz,12,1500,0,952.96,48,Kobieta,10,16,7
splacona_cz,13,5100,0,700,61,Kobieta,24,48,0
splacona_cz,13,616,0,200,75,Kobieta,242,48,2
splacona,11,2000,0,600,46,Mężczyzna,47,48,0
splacona_cz,16,633.56,0,200,64,Mężczyzna,107,48,1
splacona_cz,11,1300,0,500,39,Mężczyzna,41,48,0
odmowa,98,444,0,200,47,Mężczyzna,1,48,0
splacona_cz,11,1600,0,300,52,Mężczyzna,264,48,0
splacona,11,2327.94,0,600,24,Mężczyzna,31,48,7
splacona_cz,11,2500,0,700,47,Mężczyzna,200,48,5
splacona_cz,11,1500,0,500,33,Mężczyzna,98,48,14
splacona,11,1037.34,0,200,24,Mężczyzna,30,48,0
splacona_cz,11,1300,0,400,53,Kobieta,30,48,5
odmowa,16,505.84,0,200,63,Mężczyzna,133,48,0
splacona_cz,13,951,0,400,73,Kobieta,158,48,0
