@RELATION kredyty

@ATTRIBUTE rodzaj_źródła_dochodu NUMERIC
@ATTRIBUTE miesięczny_dochód_netto NUMERIC
@ATTRIBUTE które_rolowanie NUMERIC
@ATTRIBUTE kwota_kredytu NUMERIC
@ATTRIBUTE wiek NUMERIC
@ATTRIBUTE płeć {Kobieta, Mężczyzna}
@ATTRIBUTE okres_pobierania_dochodu NUMERIC
@ATTRIBUTE okres_będzie_pobierał_dochód NUMERIC
@ATTRIBUTE opóźnienie_spłaty NUMERIC

@DATA
16.0,806.0,0.0,300.0,21.0,Kobieta,15.0,48.0,0.0
11.0,3000.0,0.0,500.0,45.0,Kobieta,89.0,48.0,0.0
11.0,2800.0,0.0,400.0,54.0,Kobieta,56.0,48.0,2.0
16.0,1045.0,0.0,200.0,50.0,Mężczyzna,195.0,48.0,0.0
11.0,1200.0,0.0,400.0,39.0,Kobieta,9.0,48.0,0.0
12.0,660.0,0.0,400.0,40.0,Kobieta,8.0,30.0,1.0
13.0,1591.0,0.0,400.0,66.0,Mężczyzna,72.0,48.0,1.0
13.0,918.0,0.0,336.43,63.0,Kobieta,98.0,48.0,105.0
13.0,1412.0,0.0,350.0,73.0,Kobieta,200.0,48.0,0.0
11.0,1500.0,0.0,377.92,27.0,Kobieta,20.0,48.0,0.0
11.0,1577.42,0.0,200.0,50.0,Kobieta,201.0,48.0,0.0
11.0,1261.98,0.0,400.0,40.0,Mężczyzna,32.0,48.0,1.0
12.0,1100.0,0.0,400.0,33.0,Mężczyzna,123.0,6.0,141.0
16.0,2300.0,0.0,500.0,55.0,Kobieta,59.0,48.0,0.0
13.0,1100.0,0.0,300.0,63.0,Kobieta,101.0,48.0,8.0
13.0,803.86,0.0,200.0,68.0,Kobieta,154.0,48.0,0.0
12.0,1375.47,0.0,300.0,45.0,Mężczyzna,3.0,5.0,0.0
12.0,1250.0,0.0,200.0,33.0,Mężczyzna,0.0,6.0,0.0
11.0,1000.0,0.0,300.0,41.0,Kobieta,57.0,48.0,0.0
11.0,2600.0,0.0,600.0,43.0,Mężczyzna,5.0,48.0,0.0
99.0,1122.0,0.0,300.0,53.0,Kobieta,12.0,18.0,0.0
12.0,1500.0,0.0,800.0,35.0,Mężczyzna,29.0,6.0,0.0
12.0,1027.0,0.0,300.0,39.0,Kobieta,5.0,48.0,0.0
12.0,2000.0,0.0,500.0,44.0,Mężczyzna,8.0,16.0,0.0
13.0,1538.0,0.0,200.0,63.0,Mężczyzna,97.0,48.0,0.0
99.0,2063.38,0.0,626.61,54.0,Mężczyzna,193.0,13.0,251.0
16.0,703.0,0.0,200.0,57.0,Kobieta,22.0,48.0,2.0
13.0,866.46,0.0,200.0,73.0,Kobieta,191.0,48.0,0.0
13.0,1239.0,0.0,300.0,77.0,Kobieta,266.0,48.0,2.0
13.0,650.0,0.0,576.61,66.0,Kobieta,69.0,48.0,379.0
13.0,1013.74,0.0,300.0,65.0,Kobieta,109.0,48.0,0.0
13.0,1200.29,0.0,300.0,62.0,Kobieta,18.0,48.0,0.0
11.0,1250.0,0.0,400.0,61.0,Mężczyzna,102.0,48.0,0.0
13.0,962.0,0.0,500.0,62.0,Kobieta,61.0,48.0,5.0
13.0,1370.0,0.0,662.83,59.0,Kobieta,72.0,48.0,0.0
13.0,814.83,0.0,300.0,49.0,Mężczyzna,153.0,48.0,1.0
11.0,1566.82,0.0,300.0,46.0,Mężczyzna,345.0,48.0,0.0
13.0,5100.0,0.0,700.0,61.0,Kobieta,24.0,48.0,0.0
13.0,616.0,0.0,200.0,75.0,Kobieta,242.0,48.0,2.0
11.0,2000.0,0.0,600.0,46.0,Mężczyzna,47.0,48.0,0.0
16.0,633.56,0.0,200.0,64.0,Mężczyzna,107.0,48.0,1.0
11.0,1300.0,0.0,500.0,39.0,Mężczyzna,41.0,48.0,0.0
11.0,1600.0,0.0,300.0,52.0,Mężczyzna,264.0,48.0,0.0
11.0,2327.94,0.0,600.0,24.0,Mężczyzna,31.0,48.0,7.0
11.0,2500.0,0.0,700.0,47.0,Mężczyzna,200.0,48.0,5.0
11.0,1500.0,0.0,500.0,33.0,Mężczyzna,98.0,48.0,14.0
11.0,1037.34,0.0,200.0,24.0,Mężczyzna,30.0,48.0,0.0
11.0,1300.0,0.0,400.0,53.0,Kobieta,30.0,48.0,5.0
13.0,951.0,0.0,400.0,73.0,Kobieta,158.0,48.0,0.0
12.0,2000.0,0.0,500.0,53.0,Kobieta,5.0,21.0,0.0
13.0,1048.07,0.0,400.0,62.0,Mężczyzna,24.0,48.0,0.0
12.0,1350.0,0.0,281.29,55.0,Kobieta,18.0,6.0,0.0
11.0,1065.0,0.0,600.0,35.0,Kobieta,55.0,48.0,0.0
99.0,1500.0,0.0,300.0,30.0,Mężczyzna,7.0,0.0,0.0
17.0,728.0,0.0,200.0,27.0,Mężczyzna,96.0,34.0,0.0
11.0,3164.48,0.0,700.0,33.0,Kobieta,167.0,48.0,371.0
13.0,1425.0,0.0,500.0,56.0,Kobieta,16.0,48.0,7.0
13.0,965.0,0.0,200.0,75.0,Kobieta,241.0,48.0,0.0
13.0,1650.0,0.0,400.0,59.0,Kobieta,111.0,48.0,0.0
13.0,1768.93,0.0,500.0,63.0,Mężczyzna,265.0,48.0,0.0
11.0,1800.0,0.0,500.0,48.0,Mężczyzna,122.0,48.0,0.0
11.0,1300.0,0.0,700.0,27.0,Kobieta,6.0,48.0,0.0
13.0,910.33,0.0,200.0,73.0,Mężczyzna,159.0,48.0,0.0
11.0,980.11,0.0,300.0,34.0,Kobieta,41.0,48.0,0.0
13.0,1162.0,0.0,200.0,62.0,Mężczyzna,217.0,48.0,0.0
13.0,940.0,0.0,300.0,69.0,Mężczyzna,49.0,48.0,4.0
16.0,1199.93,0.0,300.0,23.0,Kobieta,138.0,48.0,486.0
11.0,2031.0,0.0,400.0,56.0,Mężczyzna,110.0,48.0,0.0
13.0,1000.0,0.0,500.0,60.0,Kobieta,64.0,48.0,2.0
11.0,1050.0,0.0,400.0,52.0,Kobieta,14.0,48.0,6.0
13.0,1426.0,0.0,300.0,71.0,Mężczyzna,73.0,48.0,0.0
13.0,1149.06,0.0,300.0,60.0,Kobieta,157.0,48.0,0.0
12.0,1660.0,0.0,300.0,25.0,Mężczyzna,9.0,17.0,348.0
13.0,984.0,0.0,300.0,61.0,Kobieta,7.0,48.0,0.0
11.0,1172.2,0.0,400.0,56.0,Kobieta,33.0,48.0,2.0
11.0,2700.0,0.0,400.0,35.0,Mężczyzna,4.0,48.0,12.0
13.0,1500.0,0.0,250.0,58.0,Kobieta,42.0,48.0,0.0
11.0,1300.0,0.0,600.0,54.0,Kobieta,64.0,48.0,0.0
13.0,1735.0,0.0,694.6,58.0,Kobieta,50.0,48.0,493.0
11.0,1700.0,0.0,600.0,47.0,Kobieta,85.0,48.0,5.0
11.0,1700.0,0.0,500.0,51.0,Kobieta,302.0,48.0,4.0
12.0,1500.0,0.0,600.0,53.0,Kobieta,5.0,0.0,0.0
12.0,2000.0,0.0,500.0,23.0,Mężczyzna,14.0,1.0,0.0
13.0,1428.55,0.0,235.97,66.0,Kobieta,133.0,48.0,2.0
13.0,1100.0,0.0,744.6,60.0,Kobieta,18.0,48.0,0.0
11.0,1700.0,0.0,300.0,54.0,Mężczyzna,35.0,48.0,0.0
11.0,2505.0,0.0,242.73,40.0,Kobieta,160.0,48.0,0.0
13.0,782.0,0.0,283.08,57.0,Kobieta,188.0,48.0,18.0
13.0,2098.0,0.0,700.0,75.0,Mężczyzna,193.0,48.0,3.0
16.0,1411.0,0.0,400.0,60.0,Kobieta,62.0,48.0,4.0
17.0,684.0,0.0,800.0,58.0,Kobieta,186.0,23.0,0.0
17.0,485.0,0.0,500.0,58.0,Mężczyzna,139.0,47.0,7.0
13.0,1137.19,0.0,400.0,66.0,Kobieta,92.0,48.0,0.0
11.0,3170.0,0.0,400.0,47.0,Kobieta,281.0,48.0,0.0
13.0,1212.0,0.0,500.0,60.0,Kobieta,50.0,48.0,0.0
12.0,830.46,0.0,600.0,47.0,Kobieta,41.0,30.0,0.0
13.0,1065.0,0.0,200.0,62.0,Kobieta,18.0,48.0,4.0
11.0,5800.0,0.0,900.0,47.0,Kobieta,50.0,48.0,0.0
13.0,1503.0,0.0,400.0,61.0,Mężczyzna,162.0,48.0,1.0
13.0,1684.0,0.0,300.0,61.0,Kobieta,16.0,48.0,0.0
13.0,640.0,0.0,450.0,72.0,Kobieta,135.0,48.0,0.0
13.0,2421.55,0.0,800.0,80.0,Kobieta,241.0,48.0,0.0
11.0,1000.0,0.0,800.0,60.0,Mężczyzna,59.0,48.0,0.0
11.0,1800.0,0.0,300.0,33.0,Mężczyzna,161.0,48.0,1.0
13.0,1189.0,0.0,285.97,62.0,Kobieta,66.0,48.0,0.0
11.0,1510.0,0.0,700.0,58.0,Mężczyzna,162.0,48.0,0.0
11.0,1680.0,0.0,300.0,57.0,Kobieta,381.0,48.0,0.0
16.0,655.0,0.0,500.0,53.0,Kobieta,27.0,48.0,0.0
17.0,646.0,0.0,300.0,40.0,Kobieta,50.0,4.0,16.0
11.0,2100.0,0.0,600.0,42.0,Mężczyzna,280.0,48.0,16.0
11.0,2825.0,0.0,300.0,39.0,Kobieta,93.0,48.0,0.0
11.0,2800.0,0.0,600.0,49.0,Kobieta,315.0,48.0,1.0
13.0,3541.9,0.0,524.09,72.0,Kobieta,123.0,48.0,31.0
13.0,1130.0,0.0,300.0,62.0,Kobieta,99.0,48.0,0.0
11.0,1290.0,0.0,600.0,32.0,Kobieta,15.0,48.0,0.0
12.0,988.0,0.0,200.0,54.0,Mężczyzna,5.0,7.0,1.0
12.0,1800.0,0.0,800.0,29.0,Mężczyzna,4.0,6.0,0.0
12.0,1655.76,0.0,600.0,32.0,Mężczyzna,53.0,7.0,492.0
13.0,997.0,0.0,300.0,61.0,Kobieta,75.0,48.0,0.0
13.0,850.0,0.0,400.0,66.0,Kobieta,63.0,48.0,2.0
12.0,1200.0,0.0,300.0,35.0,Kobieta,5.0,9.0,1.0
11.0,1400.0,0.0,200.0,49.0,Mężczyzna,10.0,48.0,0.0
13.0,1700.0,0.0,500.0,72.0,Mężczyzna,10.0,48.0,1.0
13.0,1167.94,0.0,300.0,79.0,Kobieta,365.0,48.0,0.0
12.0,1680.0,1.0,721.94,57.0,Kobieta,66.0,0.0,2.0
12.0,1447.0,1.0,500.0,29.0,Kobieta,18.0,6.0,1.0
13.0,930.0,1.0,400.0,65.0,Kobieta,127.0,48.0,0.0
13.0,1420.41,1.0,500.0,62.0,Mężczyzna,20.0,48.0,484.0
13.0,810.0,1.0,250.0,60.0,Kobieta,29.0,48.0,0.0
11.0,1087.0,0.0,400.0,40.0,Kobieta,234.0,48.0,17.0
11.0,1320.0,0.0,500.0,53.0,Mężczyzna,338.0,48.0,1.0
13.0,1015.0,1.0,400.0,64.0,Kobieta,105.0,48.0,6.0
11.0,3200.0,0.0,700.0,52.0,Mężczyzna,185.0,48.0,0.0
16.0,1340.0,0.0,500.0,63.0,Kobieta,157.0,48.0,0.0
11.0,1360.0,1.0,200.0,46.0,Mężczyzna,116.0,48.0,0.0
11.0,2050.0,1.0,408.77,33.0,Kobieta,25.0,48.0,0.0
12.0,2000.0,1.0,200.0,50.0,Kobieta,31.0,24.0,0.0
17.0,432.87,0.0,200.0,53.0,Kobieta,141.0,5.0,41.0
11.0,3000.0,1.0,300.0,60.0,Mężczyzna,208.0,48.0,3.0
12.0,1000.0,1.0,200.0,24.0,Mężczyzna,8.0,17.0,0.0
99.0,980.0,1.0,449.7,23.0,Mężczyzna,8.0,1.0,0.0
13.0,665.92,1.0,200.0,65.0,Kobieta,121.0,48.0,4.0
13.0,1667.0,0.0,500.0,71.0,Kobieta,152.0,48.0,0.0
13.0,3900.0,1.0,300.0,49.0,Mężczyzna,26.0,48.0,0.0
16.0,685.0,0.0,200.0,52.0,Kobieta,37.0,48.0,0.0
