@relation 'kredyty-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lzły-R1,2,3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6'

@attribute rodzaj_źródła_dochodu numeric
@attribute miesięczny_dochód_netto numeric
@attribute które_rolowanie numeric
@attribute kwota_kredytu numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute płeć {Kobieta,Mężczyzna}
@attribute okres_pobierania_dochodu numeric
@attribute okres_będzie_pobierał_dochód numeric
@attribute status_pożyczki {dobry,zły}

@data
16,806,0,300,'\'(-inf-30.4]\'',Kobieta,15,48,dobry
11,3000,0,500,'\'(42.8-55.2]\'',Kobieta,89,48,dobry
11,2800,0,400,'\'(42.8-55.2]\'',Kobieta,56,48,dobry
16,1045,0,200,'\'(42.8-55.2]\'',Mężczyzna,195,48,dobry
11,1200,0,400,'\'(30.4-42.8]\'',Kobieta,9,48,zły
12,660,0,400,'\'(30.4-42.8]\'',Kobieta,8,30,dobry
13,1591,0,400,'\'(55.2-67.6]\'',Mężczyzna,72,48,dobry
13,918,0,336.43,'\'(55.2-67.6]\'',Kobieta,98,48,dobry
13,1412,0,350,'\'(67.6-inf)\'',Kobieta,200,48,dobry
11,1500,0,377.92,'\'(-inf-30.4]\'',Kobieta,20,48,dobry
11,1577.42,0,200,'\'(42.8-55.2]\'',Kobieta,201,48,dobry
11,1261.98,0,400,'\'(30.4-42.8]\'',Mężczyzna,32,48,dobry
12,1400,0,300,'\'(30.4-42.8]\'',Kobieta,2,0,zły
12,1100,0,400,'\'(30.4-42.8]\'',Mężczyzna,123,6,zły
16,2300,0,500,'\'(42.8-55.2]\'',Kobieta,59,48,dobry
13,1100,0,300,'\'(55.2-67.6]\'',Kobieta,101,48,dobry
13,803.86,0,200,'\'(67.6-inf)\'',Kobieta,154,48,dobry
12,1375.47,0,300,'\'(42.8-55.2]\'',Mężczyzna,3,5,dobry
12,1250,0,200,'\'(30.4-42.8]\'',Mężczyzna,0,6,zły
11,1000,0,300,'\'(30.4-42.8]\'',Kobieta,57,48,dobry
11,2600,0,600,'\'(42.8-55.2]\'',Mężczyzna,5,48,zły
99,1122,0,300,'\'(42.8-55.2]\'',Kobieta,12,18,zły
12,1500,0,800,'\'(30.4-42.8]\'',Mężczyzna,29,6,dobry
12,1027,0,300,'\'(30.4-42.8]\'',Kobieta,5,48,dobry
16,612,0,200,'\'(55.2-67.6]\'',Kobieta,195,48,zły
12,2000,0,500,'\'(42.8-55.2]\'',Mężczyzna,8,16,zły
13,1538,0,200,'\'(55.2-67.6]\'',Mężczyzna,97,48,dobry
99,2063.38,0,626.61,'\'(42.8-55.2]\'',Mężczyzna,193,13,dobry
16,703,0,200,'\'(55.2-67.6]\'',Kobieta,22,48,dobry
13,866.46,0,200,'\'(67.6-inf)\'',Kobieta,191,48,dobry
13,1239,0,300,'\'(67.6-inf)\'',Kobieta,266,48,dobry
17,541,0,200,'\'(42.8-55.2]\'',Mężczyzna,96,32,zły
13,650,0,576.61,'\'(55.2-67.6]\'',Kobieta,69,48,zły
13,1013.74,0,300,'\'(55.2-67.6]\'',Kobieta,109,48,dobry
13,1200.29,0,300,'\'(55.2-67.6]\'',Kobieta,18,48,dobry
11,1250,0,400,'\'(55.2-67.6]\'',Mężczyzna,102,48,dobry
13,962,0,500,'\'(55.2-67.6]\'',Kobieta,61,48,dobry
13,1370,0,662.83,'\'(55.2-67.6]\'',Kobieta,72,48,dobry
13,814.83,0,300,'\'(42.8-55.2]\'',Mężczyzna,153,48,dobry
11,1566.82,0,300,'\'(42.8-55.2]\'',Mężczyzna,345,48,dobry
12,1500,0,952.96,'\'(42.8-55.2]\'',Kobieta,10,16,dobry
13,5100,0,700,'\'(55.2-67.6]\'',Kobieta,24,48,dobry
13,616,0,200,'\'(67.6-inf)\'',Kobieta,242,48,dobry
11,2000,0,600,'\'(42.8-55.2]\'',Mężczyzna,47,48,dobry
16,633.56,0,200,'\'(55.2-67.6]\'',Mężczyzna,107,48,dobry
11,1300,0,500,'\'(30.4-42.8]\'',Mężczyzna,41,48,dobry
98,444,0,200,'\'(42.8-55.2]\'',Mężczyzna,1,48,zły
11,1600,0,300,'\'(42.8-55.2]\'',Mężczyzna,264,48,dobry
11,2327.94,0,600,'\'(-inf-30.4]\'',Mężczyzna,31,48,dobry
11,2500,0,700,'\'(42.8-55.2]\'',Mężczyzna,200,48,dobry
11,1500,0,500,'\'(30.4-42.8]\'',Mężczyzna,98,48,dobry
11,1037.34,0,200,'\'(-inf-30.4]\'',Mężczyzna,30,48,dobry
11,1300,0,400,'\'(42.8-55.2]\'',Kobieta,30,48,dobry
16,505.84,0,200,'\'(55.2-67.6]\'',Mężczyzna,133,48,zły
13,951,0,400,'\'(67.6-inf)\'',Kobieta,158,48,dobry
12,2000,0,500,'\'(42.8-55.2]\'',Kobieta,5,21,dobry
13,1048.07,0,400,'\'(55.2-67.6]\'',Mężczyzna,24,48,dobry
12,1350,0,281.29,'\'(42.8-55.2]\'',Kobieta,18,6,dobry
11,1065,0,600,'\'(30.4-42.8]\'',Kobieta,55,48,dobry
99,1500,0,300,'\'(-inf-30.4]\'',Mężczyzna,7,0,dobry
17,728,0,200,'\'(-inf-30.4]\'',Mężczyzna,96,34,dobry
11,1638,0,1239.88,'\'(42.8-55.2]\'',Kobieta,310,48,dobry
11,3164.48,0,700,'\'(30.4-42.8]\'',Kobieta,167,48,zły
13,1425,0,500,'\'(55.2-67.6]\'',Kobieta,16,48,dobry
13,965,0,200,'\'(67.6-inf)\'',Kobieta,241,48,dobry
11,1650.26,0,300,'\'(55.2-67.6]\'',Mężczyzna,30,48,zły
11,1030,0,400,'\'(42.8-55.2]\'',Mężczyzna,19,48,zły
13,1650,0,400,'\'(55.2-67.6]\'',Kobieta,111,48,dobry
13,1768.93,0,500,'\'(55.2-67.6]\'',Mężczyzna,265,48,dobry
11,1800,0,500,'\'(42.8-55.2]\'',Mężczyzna,122,48,dobry
11,1300,0,700,'\'(-inf-30.4]\'',Kobieta,6,48,dobry
16,550.8,0,200,'\'(42.8-55.2]\'',Mężczyzna,61,48,zły
13,910.33,0,200,'\'(67.6-inf)\'',Mężczyzna,159,48,dobry
11,980.11,0,300,'\'(30.4-42.8]\'',Kobieta,41,48,dobry
13,1162,0,200,'\'(55.2-67.6]\'',Mężczyzna,217,48,dobry
13,940,0,300,'\'(67.6-inf)\'',Mężczyzna,49,48,dobry
16,1199.93,0,300,'\'(-inf-30.4]\'',Kobieta,138,48,zły
11,2031,0,400,'\'(55.2-67.6]\'',Mężczyzna,110,48,dobry
13,1000,0,500,'\'(55.2-67.6]\'',Kobieta,64,48,dobry
11,1050,0,400,'\'(42.8-55.2]\'',Kobieta,14,48,dobry
13,1426,0,300,'\'(67.6-inf)\'',Mężczyzna,73,48,dobry
13,1149.06,0,300,'\'(55.2-67.6]\'',Kobieta,157,48,dobry
16,387.71,0,200,'\'(42.8-55.2]\'',Mężczyzna,96,48,zły
12,554,0,200,'\'(30.4-42.8]\'',Mężczyzna,3,6,zły
12,1660,0,300,'\'(-inf-30.4]\'',Mężczyzna,9,17,dobry
13,984,0,300,'\'(55.2-67.6]\'',Kobieta,7,48,dobry
11,1172.2,0,400,'\'(55.2-67.6]\'',Kobieta,33,48,dobry
11,2700,0,400,'\'(30.4-42.8]\'',Mężczyzna,4,48,dobry
13,1500,0,250,'\'(55.2-67.6]\'',Kobieta,42,48,dobry
